name,lati,longti,2018,2017,2016,2015,2014
TME M03 021.0 S,53.51602,-6.56167,18432,18912,17699,16441,15223
TMU M01 000.0 N,53.4178,-6.22294,124355,132966,129840,86056,107603
TMU M01 005.0 N,53.43663,-6.2103,94068,98812,96067,92276,87916
TMU M01 010.0 S,53.50218,-6.19982,55986,59186,57148,54132,51711
TMU M01 020.0 N,53.55996,-6.21491,56106,59482,57496,54228,51459
TMU M01 038.0 N,53.70334,-6.38608,2877,2778,1507,1381,1586
TMU M01 038.0 S,53.70422,-6.38613,1950,2137,1950,1696,1555
TMU M01 070.0 N,53.98545,-6.43367,23359,25785,24086,22079,22029
TMU M01 080.0 S,54.0392,-6.37605,22615,25270,23849,22170,21502
TMU M02 000.0 N,53.41283,-6.31592,36748,37718,35304,16926,31026
TMU M02 010.0 N,53.48403,-6.37795,26372,27236,26056,24714,23307
TMU M03 010.0 S,53.42933,-6.4644,36653,37929,33016,34087,32473
TMU M03 012.0 S,53.43897,-6.46878,1613,1523,1261,1175,1124
TMU M03 020.0 S,53.51162,-6.56182,1837,1861,1734,1666,1583
TMU M03 030.0 S,53.59938,-6.61579,1908,1939,1615,1363,1143
TMU M03 032.0 S,53.60249,-6.6384,15261,17885,16630,15511,13918
TMU M03 037.0 N,53.62388,-6.71424,15384,16015,14347,13097,11884
TMU M03 040.0 S,53.64191,-6.7428,1762,1739,1608,1478,1289
TMU M03 041.0 N,53.64821,-6.74992,11115,11911,10795,10095,9129
TMU M03 050.0 N,53.70779,-6.8558,600,646,635,555,540
TMU M03 050.0 S,53.70809,-6.85468,758,800,805,719,700
TMU M04 015.0 E,53.36438,-6.56185,54048,57450,56100,53839,52230
TMU M04 020.0 W,53.37465,-6.62558,41433,44793,43353,40634,39642
TMU M04 070.0 E,53.54357,-7.3196,17550,19116,18707,17950,17346
TMU M06 010.0 W,53.4318,-7.22018,14991,16827,15980,15176,14372
TMU M06 025.0 W,53.35916,-7.44539,19588,-,19843,18589,17577
TMU M06 035.0 W,53.38363,-7.58138,16214,17892,17141,16259,15159
TMU M06 055.0 E,53.41239,-7.88602,18736,20431,19748,18652,18323
TMU M07 030.0 W,53.18341,-6.7355,63389,69439,61208,45180,49604
TMU M07 035.0 E,53.16645,-6.76811,41069,45037,44361,-,39989
TMU M07 040.0 E,53.1588,-6.85208,41331,45361,43733,41576,39094
TMU M07 045.0 E,53.15473,-6.95265,36639,40135,38560,36500,29876
TMU M07 065.0 W,53.09198,-7.16771,28349,31791,30649,29220,27539
TMU M07 070.0 W,53.05261,-7.23607,28358,31821,30569,10669,24087
TMU M07 080.0 E,53.01308,-7.29836,25603,28953,27797,25067,23256
TMU M07 085.0 N,53.01996,-7.3333,22541,25872,20703,11608,11008
TMU M07 100.0 W,52.91507,-7.49401,9946,11646,11162,10634,9952
TMU M07 110.0 W,52.9231,-7.65301,11067,12782,12237,11622,10849
TMU M07 125.0 E,52.90036,-7.90311,11092,12852,12349,11774,11032
TMU M07 130.0 E,52.88343,-7.97528,12351,14026,13448,12683,11850
TMU M07 145.0 W,52.85476,-8.13971,11698,13491,12719,11918,11068
TMU M07 150.0 W,52.84832,-8.16953,12911,14578,13845,12829,11877
TMU M07 170.0 E,52.76195,-8.39795,16868,18894,18103,16995,15589
TMU M07 170.0 W,52.75285,-8.41886,18794,20786,19940,18739,17167
TMU M07 180.0 E,52.66726,-8.51609,26581,28055,26776,24983,23289
TMU M07 190.0 W,52.63952,-8.58542,39393,41014,39263,36659,34374
TMU M08 010.0 N,52.89147,-7.49197,10109,12189,11958,8060,8381
TMU M08 015.0 N,52.83988,-7.50118,10717,12329,11769,11151,10507
TMU M08 020.0 N,52.78875,-7.52357,6334,11883,11769,11105,10337
TMU M08 040.0 N,52.6611,-7.72258,11385,13230,12662,11929,11369
TMU M08 050.0 N,52.55771,-7.85157,15392,17301,16763,15961,15095
TMU M08 060.0 N,52.47978,-7.90648,13709,15533,14802,14049,13242
TMU M08 100.0 S,52.27027,-8.23993,11747,13293,12618,12107,11438
TMU M08 105.0 S,52.21668,-8.28182,16987,18773,18143,17094,15977
TMU M08 117.0 N,52.11744,-8.27226,334,360,308,272,-
TMU M08 117.0 S,52.11692,-8.27178,307,334,310,261,-
TMU M08 117.6 S,52.11238,-8.27305,1704,1716,1591,1478,-
TMU M08 118.1 S,52.10814,-8.27496,16166,17768,17022,16391,-
TMU M08 125.0 N,52.05035,-8.30794,16445,18012,17254,16591,-
TMU M08 130.0 S,51.98734,-8.36293,23497,25105,24444,23237,22037
TMU M08 130.7 N,52.00536,-8.34384,11899,12655,12309,11828,-
TMU M08 130.7 S,52.00521,-8.34312,11632,12495,12164,11731,-
TMU M08 140.0 S,51.9161,-8.38155,21876,23431,22892,21716,20702
TMU M09 020.0 S,53.02617,-6.81739,20917,22719,21806,20583,19195
TMU M09 030.0 S,52.91377,-6.8652,18230,20045,19182,18106,16873
TMU M09 054.0 N,52.7647,-6.96793,14032,15227,14859,-,-
TMU M09 070.0 N,52.6758,-7.0462,14065,15116,14309,12580,12390
TMU M09 075.0 N,52.62807,-7.15348,8215,9035,8450,7770,7190
TMU M09 080.0 N,52.568,-7.23645,11983,12904,12284,11482,10738
TMU M09 110.0 N,52.38173,-7.17208,10773,11723,11176,10734,-
TMU M09 110.0 N,52.36673,-7.1653,10409,11212,10702,10010,9443
TMU M11 010.0 N,53.22208,-6.12913,71980,77439,76713,74475,72266
TMU M11 015.0 S,53.20248,-6.1296,64212,69368,68521,65802,63797
TMU M11 040.0 N,53.00297,-6.09087,30213,33204,32066,29765,28246
TMU M11 070.0 N,52.77216,-6.18398,16523,18528,17629,16269,15587
TMU M11 080.0 N,52.67383,-6.25803,11145,12932,12348,11438,10823
TMU M11 085.0 S,52.65503,-6.30403,7442,8450,8207,7582,7305
TMU M18 050.0 N,52.95824,-8.89035,10741,11069,10619,9977,9543
TMU M18 055.0 S,52.92631,-8.91552,12289,12765,12199,11545,11065
TMU M18 060.0 N,52.86959,-8.94053,12668,13071,12487,11752,11034
TMU M18 070.0 S,52.80833,-8.93139,28145,27291,26007,24507,23281
TMU M20 090.0 N,52.61863,-8.6457,29106,30811,29522,28113,26987
TMU M20 095.0 N,52.6086,-8.66921,27170,29226,28273,27229,26401
TMU M50 000.0 N,53.40305,-6.2335,79357,83622,81684,77402,73759
TMU M50 005.0 N,53.40816,-6.28956,128751,136110,129598,122523,117115
"TMU M50 015.0 N ""DATA ADVISEMENT""",53.31346,-6.36333,125236,131771,128661,122910,113013
TMU M50 020.0 N,53.34553,-6.38715,136646,144425,139526,132839,124479
TMU M50 025.0 N,53.28384,-6.32733,107624,112959,110213,106338,101635
TMU M50 025.0 S,53.30004,-6.33826,115225,121394,118638,114481,108647
TMU M50 035.0 N,53.2469,-6.16456,64149,69113,67851,64993,61973
TMU M50 035.0 S,53.27188,-6.23799,70197,74345,72379,69023,65265
TMU M50 040.0 N,53.23572,-6.13921,45447,49386,48624,46574,44712
TMU M50 040.0 S,53.26272,-6.19356,67626,72399,70745,68095,65103
TMU N01 000.0 N,53.42808,-6.22453,53734,59396,57372,54902,50534
TMU N01 040.0 S,53.38807,-6.24237,42232,44953,44708,42972,41558
TMU N01 090.0 N,54.09455,-6.36099,23831,26624,25165,23444,21964
TMU N01 090.0 S,54.11027,-6.36497,21134,23727,22436,20770,20092
TMU N02 020.0 N,53.54228,-6.42853,14862,15958,15660,14926,14420
TMU N02 060.0 N,53.82612,-6.5328,6392,7025,7072,6876,6756
TMU N02 070.0 N,53.92964,-6.64804,9462,10182,9902,9518,8767
TMU N02 080.0 N,54.0103,-6.71235,9629,10397,10224,9999,9102
TMU N02 110.0 N,54.20615,-6.84583,9408,10025,9699,8750,8324
TMU N02 130.0 S,54.39058,-6.97313,5650,6212,6080,5712,5485
"TMU N03 000.0 N ""DATA ADVISEMENT""",53.39369,-6.38519,73502,76180,73442,69951,66412
TMU N03 005.0 S,53.40748,-6.42042,28932,54064,56869,54884,50334
TMU N03 070.0 N,53.78017,-7.00942,10848,11633,11217,10789,10260
TMU N03 100.0 S,53.99095,-7.28958,11315,11969,11661,11326,10927
TMU N03 110.0 N,54.00773,-7.34263,11678,12353,12045,11444,10805
TMU N03 115.0 N,54.01177,-7.34162,10936,11642,11315,10683,10080
TMU N03 120.0 N,54.12109,-7.48169,3430,3940,3691,3491,3353
TMU N03 130.0 N,54.4844,-8.12508,4262,5173,5154,4987,4906
TMU N04 000.0 E,53.35114,-6.44254,79519,82926,81435,79251,78034
TMU N04 000.0 W,53.3555,-6.39533,98007,102297,100761,98716,98230
TMU N04 090.0 E,53.66783,-7.53782,11780,13127,12884,12370,11785
TMU N04 110.0 W,53.72244,-7.76268,10812,12103,11657,11092,10531
TMU N04 130.0 E,53.8827,-7.9362,6461,7334,7170,6847,6607
TMU N04 170.0 E,54.07138,-8.36554,5908,6544,6473,6367,6168
TMU N04 190.0 E,54.23255,-8.49203,19916,21412,21002,20524,19927
TMU N05 010.0 E,53.74647,-7.93814,4481,5214,5119,4851,4608
TMU N05 050.0 W,53.86358,-8.40136,4541,5348,5698,4929,4650
TMU N05 080.0 E,53.9486,-8.8926,4815,5583,5394,5119,4834
TMU N05 110.0 W,53.86279,-9.27769,11947,12837,12720,12211,11700
TMU N05 130.0 E,53.80634,-9.44985,8272,9257,9145,8808,8517
TMU N05 60.0 E,53.90929,-8.549,4246,4813,4585,4542,-
TMU N05 62.50 W,53.91459,-8.56383,3816,4538,4386,4257,-
TMU N06 060.0 W,53.43438,-7.94832,32561,34465,33346,31928,31066
TMU N07 000.0 W,53.30487,-6.41113,94220,99519,95926,89797,72669
TMU N07 005.0 E,53.29789,-6.42507,99082,104653,101841,96697,84995
TMU N07 015.0 W,53.25975,-6.5458,81438,87236,84731,77705,73658
TMU N07 020.0 E,53.24717,-6.5991,76922,82837,80840,78146,74261
"TMU N08 140.0 S ""DATA ADVISEMENT""",51.90523,-8.39022,38455,39939,39721,38854,38517
TMU N08 150.0 S,51.90461,-8.41296,34597,36036,35479,34609,34464
TMU N10 015.0 N,52.61042,-7.24455,8185,8612,8310,7892,7559
TMU N11 020.0 N,53.15905,-6.12795,47265,51074,50171,47581,45678
TMU N11 050.0 S,52.89786,-6.10092,922,1023,1053,4789,18983
TMU N11 060.0 S,52.82218,-6.14266,20078,22206,21226,19299,18239
TMU N11 110.0 S,52.53752,-6.55295,15392,16367,15608,13227,14277
TMU N11 120.0 N,52.3956,-6.5198,12678,13914,13612,13016,12471
TMU N12 000.0 N,54.26738,-6.92463,3768,4038,4043,4045,3922
TMU N13 010.0 N,54.87773,-7.74265,9248,10130,9857,9598,9162
TMU N13 040.0 S,55.04278,-7.3897,7500,8497,8286,8119,7864
TMU N14 020.0 N,54.8402,-7.49488,10812,11993,11843,11368,8074
TMU N15 000.0 S,54.81215,-7.52054,4645,4885,4829,4619,4763
TMU N15 030.0 N,54.757,-7.89482,6040,7126,6893,6667,6432
TMU N15 050.0 S,54.64502,-8.08635,6710,7814,7540,7181,6797
TMU N15 080.0 N,54.4622,-8.36523,6344,7670,7459,7215,6985
TMU N16 040.0 E,54.28701,-7.91383,2190,2685,2625,2460,2518
TMU N17 030.0 S,53.99517,-8.77674,5877,6632,6453,6215,6055
TMU N17 050.0 S,53.82623,-8.87827,5368,5905,5735,5503,5294
TMU N17 080.0 N,53.59072,-8.86696,8476,8385,8107,7845,7566
TMU N17 105.0 S,53.40764,-8.91069,9387,12923,13891,13453,13101
TMU N17 110.0 N,53.355,-8.9328,16882,20475,21604,21079,20732
TMU N18 020.0 N,53.21652,-8.87202,18682,19424,18691,18005,16340
TMU N18 080.0 N,52.71729,-8.84375,19700,30414,29112,27803,26577
TMU N18 090.0 N,52.68842,-8.73878,35296,37961,36538,35367,33828
TMU N20 010.0 N,51.93303,-8.53211,20932,21701,21208,20875,20705
TMU N20 020.0 S,52.03357,-8.6079,16394,16822,15456,16138,16080
TMU N20 050.0 N,52.28539,-8.6792,9869,10322,9764,9757,9957
TMU N20 080.0 N,52.57027,-8.72005,13754,14418,13862,13381,13118
TMU N21 000.0 S,52.57864,-8.75221,15404,16936,16517,16045,15581
TMU N21 040.0 S,52.38221,-9.22114,8988,10667,10442,9925,9667
TMU N21 065.0 N,52.26234,-9.45752,7625,9088,8908,8386,8077
TMU N21 070.0 N,52.24753,-9.48204,6540,7957,7667,7186,6839
TMU N21 070.0 S,52.23983,-9.5002,9045,9857,9680,9197,8825
TMU N22 000.0 E,51.894,-8.51757,10648,11041,11141,11220,11413
TMU N22 010.0 E,51.87858,-8.64464,19679,21251,20889,19604,19272
TMU N22 010.0 W,51.88714,-8.56911,15330,16271,15885,15322,14750
TMU N22 060.0 E,51.95679,-9.19034,5883,6933,6837,6529,6299
TMU N22 070.0 E,52.00281,-9.34443,7290,8485,8281,7919,7614
TMU N22 090.0 W,52.06633,-9.49473,16481,18335,17994,17350,16780
TMU N22 110.0 E,52.23527,-9.6004,8116,8826,8674,8276,8000
TMU N23 010.0 S,52.22455,-9.47804,4186,5044,4807,4500,4267
TMU N24 000.0 W,52.63854,-8.53691,15954,16736,16564,15993,15305
TMU N24 040.0 E,52.46585,-8.14078,6031,6485,6381,6206,6033
TMU N24 060.0 E,52.39473,-7.90783,6665,7023,6759,6383,6136
TMU N24 070.0 W,52.37409,-7.79017,10604,11176,10973,10518,10230
TMU N24 080.0 W,52.3649,-7.62675,13000,13905,13979,13238,13007
TMU N24 100.0 E,52.34572,-7.33316,6731,7161,7042,6726,6771
TMU N25 000.0 E,51.90728,-8.35638,52437,54821,53198,51340,50313
TMU N25 005.0 E,51.90628,-8.28723,45564,47110,46945,45186,42323
TMU N25 010.0 E,51.90645,-8.27244,35470,37321,36312,34902,33624
TMU N25 020.0 W,51.9151,-8.10629,15142,16052,16396,16082,15747
TMU N25 070.0 W,52.10524,-7.60386,9858,10786,10639,10157,9968
TMU N25 090.0 W,52.21471,-7.38732,9549,10490,10212,9662,9272
TMU N25 120.0 W,52.32547,-7.05566,11177,12194,11792,11414,11195
TMU N25 150.0 E,52.36016,-6.78815,6998,7800,7646,7208,6935
TMU N25 190.0 W,52.24288,-6.34888,4961,6000,6072,5962,5847
TMU N26 020.0 N,54.0614,-9.1522,7127,7635,7586,7256,7091
TMU N27 000.0 N,51.86242,-8.47908,18448,20250,19678,19123,19262
TMU N28 000.0 W,51.85085,-8.41577,24122,24891,24581,23856,23330
TMU N30 030.0 E,52.41814,-6.89601,4784,5122,4884,4682,4579
TMU N31 000.0 E,53.27846,-6.19821,15429,16038,15530,15824,16018
TMU N31 005.0 E,53.30009,-6.19153,11344,10608,12064,11905,11957
TMU N32 000.0 E,53.40928,-6.21042,36534,38919,38905,38311,36975
TMU N33 000.0 E,53.85822,-6.46027,11630,12017,11734,10821,9897
TMU N40 000.0 W,51.87636,-8.56072,39579,41192,39847,37696,35804
TMU N40 010.0 E,51.87488,-8.44783,82495,85740,84357,78780,79296
TMU N40 010.0 W,51.88229,-8.4076,68033,70781,69506,39160,60326
TMU N40 015.0 W,51.88825,-8.39061,63687,66686,65034,63001,60385
TMU N51 010.0 E,53.70527,-6.57712,5587,6025,5899,5641,5275
TMU N51 040.0 E,53.64438,-6.87564,4147,4370,4198,3355,3632
TMU N52 000.0 W,54.01086,-6.39227,11975,12748,12531,11901,11429
TMU N52 010.0 W,53.97095,-6.41903,14285,14361,13916,13138,12893
TMU N52 040.0 E,53.43972,-7.37307,6837,7069,6918,6407,5594
TMU N52 040.0 W,53.80577,-6.66862,2807,2965,2879,2825,2762
TMU N52 080.0 W,53.60284,-7.10352,4705,4625,5039,4824,4613
TMU N52 100.0 W,53.51075,-7.31134,5917,6222,6037,5475,5365
TMU N52 110.0 E,53.3937,-7.37061,5943,6055,5905,5457,5146
TMU N52 115.0 E,53.35323,-7.49666,12573,13301,12822,12179,11636
TMU N52 130.0 E,53.2432,-7.57212,7036,7382,7222,6854,6543
TMU N52 150.0 E,53.17023,-7.74721,3644,3899,3859,3614,3520
TMU N53 010.0 W,54.08873,-6.69299,5131,5244,5105,4473,4815
TMU N54 010.0 W,54.21571,-7.1336,4510,4711,4796,4690,4517
TMU N54 030.0 E,54.14135,-7.32455,3012,3236,3285,3203,3070
TMU N55 020.0 S,53.82027,-7.44885,3683,3964,3859,3636,3548
TMU N55 050.0 N,53.59461,-7.71694,3465,3701,3440,3318,3250
TMU N56 000.0 S,54.66156,-8.10466,5196,5914,5584,5283,5032
TMU N56 070.0 S,54.93434,-8.32332,2563,3074,2947,2796,2681
TMU N56 150.0 N,54.99359,-7.72934,9983,11428,11072,10818,10609
TMU N58 010.0 N,53.94213,-9.10458,5156,5532,5577,5295,5188
TMU N59 040.0 S,54.1694,-9.06317,3471,3761,3845,3719,3717
TMU N59 070.0 S,54.09502,-9.37759,1724,1974,1924,1925,1957
TMU N59 130.0 S,53.9058,-9.67708,2523,3244,3124,3009,2942
TMU N59 280.0 S,53.37186,-9.23635,6040,7388,5985,6948,6763
TMU N60 010.0 W,53.68234,-8.35652,4042,4474,4496,4211,4134
TMU N60 050.0 W,53.74323,-8.81516,2240,2391,2379,2340,2244
TMU N60 070.0 E,53.76328,-9.04588,5565,5689,5510,5324,5243
TMU N61 020.0 N,53.60974,-8.13158,7003,7788,7745,7438,7200
TMU N61 080.0 N,53.67624,-8.19746,5377,5885,5802,5755,5547
TMU N62 010.0 S,53.3472,-7.84297,4183,4692,4561,4376,4186
TMU N62 010.0 S,52.9003,-7.79785,4498,4707,4650,4439,4287
TMU N62 050.0 N,52.9812,-7.84493,4929,5333,5253,5054,4966
TMU N62 050.0 S,52.63959,-7.78434,8069,8349,8369,8017,7736
TMU N62 080.0 N,52.76747,-7.84399,3768,3987,3989,3857,3726
TMU N63 020.0 W,53.65583,-8.09816,4320,4579,4521,4295,4172
TMU N63 080.0 W,53.44681,-8.71274,3011,3227,3331,3292,3246
TMU N65 050.0 W,53.01833,-8.12535,2876,3314,3208,3114,3013
TMU N66 020.0 W,53.1116,-8.75103,2242,3100,3187,3007,2883
TMU N67 060.0 E,52.95414,-9.28551,1893,2456,2420,2268,2237
TMU N67 120.0 E,52.62353,-9.46661,1015,1406,1450,1481,1402
TMU N68 030.0 E,52.70957,-9.2641,3236,3921,3875,3717,3632
TMU N69 020.0 W,52.60541,-9.00779,5589,6140,6021,5813,5568
TMU N69 070.0 W,52.4662,-9.42912,3402,4013,3828,3647,3453
TMU N69 090.0 W,52.33982,-9.62181,6065,6653,6542,6300,6054
TMU N70 010.0 E,51.86732,-9.6781,1482,2232,2203,2090,1995
TMU N70 090.0 E,52.0309,-10.08797,1994,2864,2784,2595,2487
TMU N71 000.0 E,51.80727,-8.55957,18644,19672,19350,18517,17929
TMU N71 010.0 W,51.78615,-8.61756,13698,14974,14843,14221,13742
TMU N71 040.0 E,51.63637,-8.87287,8324,9277,9291,9021,8748
TMU N71 110.0 W,51.90655,-9.60495,595,1312,1243,1204,1168
TMU N71 190.0 W,51.70235,-9.44237,5140,5997,5880,5684,5512
TMU N72 010.0 E,52.07486,-9.62142,5915,6817,6812,6481,6252
TMU N72 030.0 E,52.05729,-9.36513,5097,5771,5642,5354,5154
TMU N72 120.0 E,52.14292,-8.3342,2564,2733,2401,2720,2598
TMU N72 160.0 W,52.1276,-7.78874,4323,4755,4601,4376,4159
TMU N73 010.0 E,52.22027,-8.50331,2808,3268,3072,3078,2991
TMU N74 010.0 W,52.49496,-8.00709,3801,4026,3983,3896,3839
TMU N75 000.0 E,52.67212,-7.74535,4368,4615,4676,4525,4472
TMU N76 020.0 S,52.53327,-7.40324,5100,5567,5604,5386,5188
TMU N77 000.0 S,52.67886,-7.25369,10823,11213,10822,10293,9793
TMU N77 030.0 S,52.88282,-7.36429,5489,6050,5911,5689,5729
TMU N77 050.0 S,53.00523,-7.3046,8869,9330,9042,8686,8428
TMU N78 030.0 S,52.98721,-6.92644,4450,4633,4443,4117,3884
TMU N78 040.0 S,52.92147,-7.06349,2358,2535,2471,2438,2432
TMU N80 000.0 N,53.25241,-7.47739,9110,9679,9517,9229,8933
TMU N80 060.0 N,52.8644,-6.99106,4698,5079,4928,4817,4629
TMU N80 070.0 S,52.84659,-6.93084,14186,14486,14001,13229,12821
TMU N80 090.0 S,52.70786,-6.7079,6531,7159,6815,6611,6274
TMU N81 000.0 N,53.28737,-6.3454,29108,30061,30209,29823,30951
TMU N81 010.0 S,53.22588,-6.46505,10964,11579,11354,10888,10525
TMU N81 040.0 N,53.02845,-6.63954,3580,3808,3631,3524,3341
TMU N81 080.0 N,52.73812,-6.74603,2154,2324,2339,2279,2255
TMU N83 010.0 N,53.56447,-8.79326,3972,4072,3995,3851,3746
TMU N83 040.0 S,53.88194,-8.79018,737,763,779,783,800
TMU N84 010.0 N,53.3312,-9.02055,11127,12518,12177,11740,11509
TMU N84 050.0 N,53.64954,-9.25784,5080,5801,5677,5374,5300
TMU N85 030.0 E,52.92787,-9.26992,4418,5719,5631,5296,5122
TMU N86 040.0 W,52.14043,-10.1926,2891,4256,4248,4018,3813
TMU N87 030.0 N,54.19971,-7.70498,1301,1525,1491,1450,1469
TMU R108 000.0 N,53.40642,-6.26565,33116,33795,33614,32333,31367
TMU R108 000.0 N,53.41255,-6.26542,15985,17549,16836,16074,14742
TMU R132 090.0 N,53.66797,-6.27883,19520,20306,19877,19402,18787
TMU R147 000.0 S,53.4486,-6.47488,19232,19899,19020,19481,19338
TMU R147 010.0 S,53.49123,-6.52254,8130,8497,8400,8333,8287
TMU R147 020.0 N,53.57967,-6.58737,6874,7442,7204,6979,6830
TMU R147 040.0 S,53.69842,-6.78932,7484,7971,8010,7896,7795
TMU R148 040.0 W,53.44971,-7.06698,8104,8962,8814,8511,8377
TMU R420 010.0 N,53.31254,-7.55465,6850,7164,7074,6890,6700
TMU R445 070.0 W,52.95053,-7.55977,3303,3539,3512,3412,3470
TMU R445 150.0 E,52.66814,-8.54296,17021,17361,17121,16486,16521
TMU R446 070.0 W,53.3616,-8.06759,2602,2834,2836,2780,2687
TMU R446 120.0 E,53.27069,-8.3994,3387,3939,3875,3762,3659
TMU R639 010.0 S,52.08494,-8.27791,6452,6809,6776,6587,5978
TMU R712 010.0 E,52.64823,-7.0998,3690,3957,3991,3798,3688